S_ID,Gender,Athlete,Sport,SSS,AES/Tok,Transfer,Continuing,Prev_proff,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6
16,M,y,MGO,,,1,,Holzwarth,5,22,32,19,20,32
19,F,,,,,,,Galaty,19,13,20,29,1,12
20,M,,,,,,,Reed,13,9,24,21,12,24
26,F,,,,1,,,JohnsonL,1,15,13,4,22,30
33,F, ,,2,,,,Muth,12,13,18,23,7,18
45,F,,,,,,,Mirabile,4,2,10,7,11,10
46,F,,,1,,,,Roberts,15,9,4,2,5,4
83,F,,,,,,,Drayton,25,4,23,12,11,23
86,F,,,2,,,,JohnsonC,2,25,29,28,31,29
87,F,,,,,,,Roberts,12,22,13,27,19,13
92,M,,,2,,,,JohnsonC,21,15,27,20,9,27
95,M,,,,2,,,Copenhaver,3,32,4,6,33,4
100,F,,,,,,,Glosser,2,23,4,27,17,4
104,M,,,,,,,Holzwarth,4,2,20,15,23,20
112,M,,,,,,,Fujie,18,11,21,12,14,21
113,M,y,FB MTF,,,,,Toutonghi,19,18,21,10,,21
132,M,,,,,,,Schestag,34,33,9,3,18,9
133,F,y,SO,,,,,JohnsonL,31,25,28,27,17,28
138,F,,,2,,,,Copenhaver,13,30,21,9,20,21
139,M,,,1,,,,Ritchey,11,13,21,25,24,21
142,,,,,,,,,12,13,7,26,11,7
166,M,,,,,,,JohnsonC,21,33,17,12,7,17
168,F,,,1,,,2,Reed,7,12,5,13,15,5
170,F,y,VB,,,,,Holzwarth,18,10,22,20,25,22
173,F,,,2,,,,Mirabile,9,27,7,21,13,7
190,F,,,,,,,Morrill,1,4,7,17,31,7
199,F,,,,,,,Holzwarth,4,31,19,23,15,19
205,F,,,,,,,Lochner,11,13,18,21,20,18
210,M,,,,,,,Glosser,,,,,,
212,M,y,FB,2,,,,Drayton,12,13,21,19,28,21
225,F,,,2,,,,Simek,18,11,9,25,19,9
233,M,,,,,,,Schestag,21,32,13,12,5,13
252,M,y,FB,,,,,Reed,23,28,15,9,29,15
261,M,,,,,,,Fujie,13,12,11,31,30,11
287,F,,,,,,,Galaty,25,16,11,4,9,11
289,F,,,2,,,,Glosser,,,,,,
308,F,,,,1,,,Mirabile,,,,,,
348,M, ,,,,,,Westervelt,9,4,23,17,7,23
349,F,,,,,,,Galaty,18,28,7,12,31,7
351,M,,,1,,,,Cushman,21,1,28,26,17,28
356,F,,,,,,,Fujie,17,22,23,25,30,23
357,M,,,2,,,,Muth,3,4,32,18,,32
359,M,,, ,2,,,Toutonghi,11,23,12,26,1,12
370,F,,,,,,,Drayton,2,3,23,17,13,23
375,F,,,,,,,Roberts,11,21,23,30,12,23
377,F,,,,,,,Morrill,4,11,22,19,16,22
388,F,,,2,,,,Fujie,7,17,13,23,12,13
407,M,,,,, ,,Cameron-Dominguez,21,4,15,13,22,15
413,M,,,,,,,Smith,11,31,12,21,22,12
