S_ID,Gender,Athlete,Sport,SSS,AES/Tok,Transfer,Continuing,Prev_proff,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6
16,M,y,MGO,,,1,,,1,2,3,4,5,6
19,F,,,,,,,,,,,,,
20,M,,,,,,,,1,,,,,
26,F,,,,1,,,,6,5,4,3,2,1
33,F, ,,2,,,,,3,4,,,,
45,F,,,,,,,,1,5,3,4,2,
46,F,,,1,,,,,1,2,3,4,5,6
83,F,,,,,,,,,,,,,
86,F,,,2,,,,,1,,,,,
87,F,,,,,,,,6,5,4,3,2,1
92,M,,,2,,,,,3,4,,,,
95,M,,,,2,,,,1,5,3,4,2,
100,F,,,,,,,,1,2,3,4,5,6
104,M,,,,,,,,,,,,,
112,M,,,,,,,,1,,,,,
113,M,y,FB MTF,,,,,,6,5,4,3,2,1
132,M,,,,,,,,3,4,,,,
133,F,y,SO,,,,,,1,5,3,4,2,
138,F,,,2,,,,,1,2,3,4,5,6
139,M,,,1,,,,,,,,,,
142,,,,,,,,,1,,,,,
166,M,,,,,,,,6,5,4,3,2,1
168,F,,,1,,,2,,3,4,,,,
170,F,y,VB,,,,,,1,5,3,4,2,
173,F,,,2,,,,,1,2,3,4,5,6
190,F,,,,,,,,,,,,,
199,F,,,,,,,,1,,,,,
205,F,,,,,,,,6,5,4,3,2,1
210,M,,,,,,,,3,4,,,,
212,M,y,FB,2,,,,,1,5,3,4,2,
225,F,,,2,,,,,1,2,3,4,5,6
233,M,,,,,,,,,,,,,
252,M,y,FB,,,,,,1,,,,,
261,M,,,,,,,,6,5,4,3,2,1
287,F,,,,,,,,3,4,,,,
289,F,,,2,,,,,1,5,3,4,2,
308,F,,,,1,,,,1,2,3,4,5,6
348,M, ,,,,,,,,,,,,
349,F,,,,,,,,1,,,,,
351,M,,,1,,,,,6,5,4,3,2,1
356,F,,,,,,,,3,4,,,,
357,M,,,2,,,,,1,5,3,4,2,
359,M,,, ,2,,,,1,2,3,4,5,6
370,F,,,,,,,,,,,,,
375,F,,,,,,,,1,,,,,
377,F,,,,,,,,6,5,4,3,2,1
388,F,,,2,,,,,3,4,,,,
407,M,,,,, ,,,1,5,3,4,2,
413,M,,,,,,,,1,2,5,4,6,
424,F,,,,,,,,1,2,3,4,5,6
751,M,,,,,,,,3,4,,,,
761,M,,,,,,,,1,5,3,4,2,
783,M,,,,,,,,1,2,3,4,5,6
787,F,y,WGO,2,2,,,,,,,,,
789,M,,,,,,,,1,,,,,
792,F,,,,,,,,6,5,4,3,2,1
793,M,y,BB,,1,,,,3,4,,,,
798,F,,,,,,,,1,5,3,4,2,
800,F,,,2,,,,,1,2,5,4,6,
826,F,,,,,,,,1,2,3,4,5,6
845,F,,,2,,,,,6,5,4,,,
